hypotension at 17	i have high blood pressure and hypotension and from time to time when i stand up i get really dizzy and my sight goes all black is there anything i can do to stop this happening
blood pressure number	i have a blood pressure of 194 / 113 with a pulse rate of 45 that's bad isnt it 
blood pressure bottomed out	what could cause bloodpressure to bottom out have hysterics coma and death with in 4 hours this happened to my mother she had diabetes high blood pressure and had had a quadruple bypass 5 years earlier my sis ter had committe suicide 1 week before and her doctor said she died of a broken heart that is the only answer i have been given was told they didn't know what had happened help i really need an answer
high diastolic and normal systolic	hello i just had a question about blood pressure my husband had a dental appointment to get a bad tooth taken care of when they checked his blood pressure it was 121/101 i know that the 121 is close to normal but the other is way off when i look up something about the blood pressure everything talks about both being elevated of course they didn't do any procedure because of the blood pressure but i am not sure what we are suppose to do about it they said to come back next week but didn't say what to do about the elevated blood pressure
hypotension steady heart rate chest pain	here's one for you it's not me it's my girlfriend for some time she has complained of intermittent chest pain they discovered a blockage in the left ventrical ok i'll buy that now then she was perscribed nitro to aleiviate the pain it does nothing to help she's on two different medications for hypotension but she's almost always still low even after taking them she also tends to get shakey and sometimes passes out at any given moment regardless of activity she was just in the hospital for several days where they did pretty much nothing but monitor her blood pressure and let her go when the top number finally reached 92 (still seems low to me) no one seems motivated to really fix the problem just give a couple meds that only sort of mask things and act as a bandaid for the problem thoughts
low blood pressure	ok my bp runs low for about 35 years now it gets lower than the 90/60 here and there i'm terrified off getting shock how low does you guys with low bp run the week straight anxiety is debilitating
sudden drop in blood pressure	i've recently been diagnosed with chronic hypotension and poor circulation after sitting down for a while i began to feel lightheaded so i went to lie down almost as soon as i lay down i felt fatigued and still my lightheadedness will not go away are these the symptoms of a sudden drop in blood pressure if so what can i do when my blood pressure drops suddenly and also can anyone tell me why this could have happened i usually only feel the effects of my low blood pressure when i stand up so this has been very confusing neutral
can low blood pressure result from eating after a long time	i've had constant low blood pressure for years now and have become nauseus and fainted whenever my bp drops when working for a long time without a break (say 4-5 hours) i start to get very hungry but after eating lunch or a meal i return to work feeling very nauseus and eventually i will either faint or begin to vomit is this a common thing because i drink plenty of water in an attempt to prevent this and i find it strange that i can be so hungry but not be able to stomach something relatively simple when it happens i get a tight feeling in my stomach my legs begin to turn weak and my vision start to become blurry which i know from experience are symptoms of my low blood pressure any help would be appreciated
hypotention bpm my life is on hold	hypotention bpm symptoms with mine the headache doesn't go away at all and i have tachycardia with mine just walking few steps after standing i blackout with no movement no speach and no vision it can last from 20 sec to 1 min i'm oncalciumblockers and pitotifen i can't have betablockers due to them causing acute asthma attacks due to having a dry mouth very thirsty i drink a lot of fluids which means a lot of bathroom trips ie 10 minimum a day i am frequently dizzy lightheaded walk drunk when very bad but with my blood pressure jumping around a lot ie i was with my neurologist he took my bp it was 70/66 sitting down and 118/75 standing bpm 98 but he didn't seem bothered by it my bpm can vary from 80 to 149 bpm i wasnt with it at all at my appointment its like being in a bubble clouded i only have one kidney as well i'm very tired and feel weak i also get heavylegs the hole process is slow to get test and results then having to wait 9 months to see the neurologist again mean while my life is on hold i'm not allowed to drive or work at the moment
blood pressure continually declining and worsening of symptoms	normally my blood pressure has always been around the 110/70 range but over the last several months i've felt very "off" i get extremely dizzy upon standing and i feel a general weakness all the time even when i turn my head or am in a very well-lit environment i also feel slightly nauseated my readings have been consistently low i started out at 90/58 but my most recent one was 82/60 is this blood pressure too low i drink plenty of water and my intake of salt is very good (which was also further evidenced by a good sodium level on the blood test) i'm 27 and male could it be a problem with my heart or could it be something more benign
hypotension / low blood pressure	in reading about carbohydrate restricted diets i came across some warnings that it could cause hypotension i have naturally low bp (90s/50s) and have had instances of orthostatic hypotension and even passing out mostly it seems to be in the carb withdraw period i am a little worried about being able to deal with this as i can't really take off work due to a new diet is there any advice out there to lessen the chances or severity of increased hypotension due to carb restriction
ortho-static hypotension or not	i was diagnosed with ortho-static hypotension recently but i feel like there is more to what is going on with me and my doctor is just tired of dealing with me im sick to my stomach everyday shake horriblysweat like a man heart races and i start to blackout and feel like or do faint only thing is it doesnt happen when goin from a sitting to standing postion which is what ortho-static is im 28 and have delt with this since my senior year in high school i take florinef three times a week and it doesnt seem to be helping much just makes me swell doc just tells me to wear support stockings and drink as much water as i can really does anyone else have any advice
blood pressure continually declining and worsening of symptoms	normally my blood pressure has always been around the 110/70 range but over the last several months i've felt very "off" i get extremely dizzy upon standing and i feel a general weakness all the time even when i turn my head or am in a very well-lit environment i also feel slightly nauseated my readings have been consistently low i started out at 90/58 but my most recent one was 82/60 is this blood pressure too low i drink plenty of water and my intake of salt is very good (which was also further evidenced by a good sodium level on the blood test) i'm 27 and male could it be a problem with my heart or could it be something more benign
no carbs dizzy and nausious low bp	i went to bed late last night and i am on the herbalive dieet (this means no carbs) this morning i was sitting at work and as soon as i stood up to go to the bathroom i felt dizzy and nausious this happens quiet often to me and if i eat a sugar filled thing (eg a chocolate) it goes away i do know that i have low blood pressure what could this be if you need any more information please don't hesitate to ask
fainting dizziness	today my 12 year old daughter fainted and she had blacked out and felt really warm and dizzy and then all of the sudden she fainted but she had her eyes open and she was still breathing and this was the first time it has ever happened what do i do and what could it be
sudden drop in blood pressure	i've recently been diagnosed with chronic hypotension and poor circulation after sitting down for a while i began to feel lightheaded so i went to lie down almost as soon as i lay down i felt fatigued and still my lightheadedness will not go away are these the symptoms of a sudden drop in blood pressure if so what can i do when my blood pressure drops suddenly and also can anyone tell me why this could have happened i usually only feel the effects of my low blood pressure when i stand up so this has been very confusing neutral
low blood pressure while exercising an underlying reason	i found these posts a few yrs ago when i was seeking a reason why i felt extreme exhaustion & faintness during exercise despite 30 yrs of jogging i went through respiratory workups & a full cardiac workup - all w/ no problems discovered & no diagnosis i have since (2 yrs later) been diagnosed w/ parkinson's - one symptom of which can be early morning low bp (which can produce the faintness w/ heat/exercise) i find that i can alleviate the vasovagal syncope by exercising a bit later in the morning exercising in an air-conditioned fitnesss center instead of outside maintaining good hydration etc - but of course the parkinson's doesn't go away i don't post this to scare you but just to let you know that there can be an underlying reason for the low bp in the morning or w/ heat/exercise - bette
blood pressure unusual pattern	i have a question to which i have yet to get the answer about my blood pressure my systolic was lower than usual 85 but my diastolic was way higher than usual 95 what could this mean i have various medical problems but rarely affect my bp i have never seen this pattern though should i be worried
fatigueconfused bp low memory impairment	i usually feel fatigue aftr doing smal works like walking on staircase i feel confusedsometimes i forgot things and take stress on small thingi am physically very weaki wanna know what problem i am having
father has a problem with his tension	hope someone help my father has a problem with his tension for about 6-9 moths he has a lot of problem with his tension mostly of time he has hypotension usually in the morning before he used to drink 6-7 coffee a day but now he can drink only 1 cause a second will make him so bad i have sent him in every hospital they have checked the heart the head and a lot of other things and discovered nothing today his tension was 9-6 and i gave him a coffee and his tension went to 18-10 i dont know to do any more cause we dont know why this happens sad can any one help plss
hypotensionshould i be worried	i have recently been told that i have hypotension and told to buy a blood pressure machine and blood sugar checker i have monitored both for a week i was instructed to check pressure whenever i was dizzy a lot if times i am not able this 95/63 and blood sugar 105 94/50 97/65 and 120 sugar 90/63 112/79 & 105 sugar 90/62 & 101 sugar 106/67 &111 sugar i have been told the dizziness could be an inner ear issue i am extremely fatigued to the point of sleeping most of the day (when i am actually very active) i've been experiencing horrible headaches and migraines for four months my vision is so blurred that my prescription contacts/glasses dont always help (it's like i have nothing on to help me see) and i have some chest pains that aren't really strong but annoyingly achy and uncomfortable i've gained 30 pounds my father passed away from diabetes and heart isdues my brother 47 has had a mild heart attack my mother has had a quadruple heart bypass now should i be worried or is this all pressure
low blood pressure chest pain	doctors baffled 2 years ago i had a stent put in which the doctors believed would fix the problem of low blood pressure (quite often 60/40) im 68 and healthy/fit (after that they they thought i might have addisons disease but that was a negative) at moment taking 1xaspirin and stent medication feeling very lethargic and at times dizzy due to low blood pressure appetite is low have had checks with angioplasty heart slight increase in protein in blood not sure what is happening now anyone else had undiagnosed problem like this
suffering from low blood pressure	i have 46 year old male employee that is suffering from low blood pressure 100/60 and has numbness in left arm what can be done to correct this
hypotension (low bp) & shaking	i have been under a lot of stress recently and need to know if this is normal after lying down for a while and then standing up i have been feeling a sense of dizziness i usually do not fall to the floor just hold onto something maybe feel a little tingly however on 3 diff occasions i have fallen to the floor and started shaking i did not loose consciousness and it only lasts for a few minutes once its done i am fine has anyone ever experienced this before
blood pressure medicine / urine smell	i am having low blood pressure now i am consuming medicine to achieve normal blood pressure the medicine i take is b-complex with wheat germ and lecithin vitamin c-500 and spectrum multivitamins and minerals however after i took these medicine my urine started to smell like those medicines and the color of my urine changes to the vitamin's color is this a symptom of any disease can anyone help me thanks crying or very sad
fatigue-after doing anything i feel like i've run a marathon	i have a type of fatigue whenever i do any type of low-level activity for example just cleaning the house a few hours after doing anything i feel like i've run a marathon and i know what this feels like as i used to run marathons but today just wouldn't be able to do this i've had this for about three years and have been to see all sorts of specialists but they have no explanations i also have low iron and low blood pressure has anyone got any answers or can point me in the right direction
sudden drop in blood pressure emergency home treatment	what emergency home treatment for sudden drop in blood pressuresuspect cause is too much lantus insulin in morning dosage patient been on metobolic diet and has been decreasing lantus dosage as per instructions of doctor's sliding scale for particular reading of blood sugar recently stopped novolog due to drop in blood sugar since on metobolic diet diabetis doctor is in another town and local family doctor's office is closed until monday
when is low blood pressure considered a problem	i am a 39 year old female can anyone tell me when low blood pressure is considered a problem i have been having some chest pain that radiates from middle left chest to shoulder blade and down my arm when i take my blood pressure it is anywhere between 90/60 to 78/54 my heart rate is between 58-85 never high i know high blood pressure & heart rate is a problem but have never heard anything about low should i be concerned
dizziness and chest discomfort	i am experiencing dizziness headches and chest discomfort for nearly a week now although i am usually a healthy person (and in my twenties) i believe that what triggered it was the news of the illness of a close person but it starts worrying me that the symptoms won't stop the first day it started my heart was racing like crazy and i passed out for a few seconds i also had a slight pain in my chest and left arm as well as numbness in my arm then the pain went away the next day but i felt constantly dizzy especially when trying to work/concentrate i also went to the doctor but i didn't feel like i was taken seriously and i was just told to drink tea and wait till it goes away he did say that my blood pressure was very low the last few days it got worse and i have to really force myself to get out of bed and get through the day i tried to go jogging thinking that sports are always good for my body but i had a hard time breathing and almost fainted again i know that i get the low blood pressure from my family but i never had any major problems so far until now has anyone else experienced similar problems i'd be really glad to hear what i could possibly have thanks
low blood preasure	low bpis a common problem but seen as less important than high bp there are many reason why your bp level might be to loo you can easily control your bp to do following changes to your daily life style you can use more salt as sodium can increase bp if you are patient of failure then consult your doctor before increasing salt in your diet drinking lot of fluids you may take 10 glasses of fluid a day during exercise to promote blood flow have regular exercise avoid heavy lifting do not strain when you are in toilet don't take prolong hot water bath avoid taking alcohol increase whole grains fruits vegetables lean chicken and fish in your diet even then you face some problem so you can consult a specialist doctor if anyone has better suggestions and ideas then please let everyone know by replying to this post
